row,contract_status,level,category,contract_code,contract_name,planning_code,planning_name,dev_rr,zerost_rr,opinion,client_feedback,extra_opinion,extracted_codes,promotion_scope,promotion_reason
753,1,1,[기획] D04-수업관리,,,CLS-12,대기열 관리 (만석 수업 자리 배분),Z,,,,,CLS-12,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
754,,2,[기획] D04-수업관리,,,CLS-12-01,수업 선택,Z,,,,,CLS-12-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
755,,2,[기획] D04-수업관리,,,CLS-12-02,대기자 목록,Z,,,,,CLS-12-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
756,,2,[기획] D04-수업관리,,,CLS-12-03,자동 배정,Z,,,,,CLS-12-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
757,,2,[기획] D04-수업관리,,,CLS-12-04,수동 배정,Z,,,,,CLS-12-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
758,,2,[기획] D04-수업관리,,,CLS-12-05,대기 취소,Z,,,,,CLS-12-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
759,,2,[기획] D04-수업관리,,,CLS-12-06,알림 발송,Z,,,,,CLS-12-06,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
760,,2,[기획] D04-수업관리,,,CLS-12-07,순번 조정,Z,,,,,CLS-12-07,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
761,2,1,[기획] D05-상품관리,,,PRD-04,할인 설정 (정률·정액 + 변경 이력),Z,,,,,PRD-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
762,,2,[기획] D05-상품관리,,,PRD-04-01,할인 목록,Z,,,,,PRD-04-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
763,,2,[기획] D05-상품관리,,,PRD-04-02,할인 추가,Z,,,,,PRD-04-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
764,,2,[기획] D05-상품관리,,,PRD-04-03,할인 수정,Z,,,,,PRD-04-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
765,,2,[기획] D05-상품관리,,,PRD-04-04,할인 삭제,Z,,,,,PRD-04-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
766,,2,[기획] D05-상품관리,,,PRD-04-05,변경 이력,Z,,,,,PRD-04-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
767,,2,[기획] D05-상품관리,,,PRD-04-06,활성/비활성,Z,,,,,PRD-04-06,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
768,,2,[기획] D05-상품관리,,,PRD-04-07,자동 적용,Z,,,,,PRD-04-07,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
769,,1,[기획] D05-상품관리,,,PRD-08,시즌 가격 관리 (기간 한정 특별가),Z,,,,,PRD-08,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
770,,2,[기획] D05-상품관리,,,PRD-08-01,시즌 특가 목록,Z,,,,,PRD-08-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
771,,2,[기획] D05-상품관리,,,PRD-08-02,달력 뷰,Z,,,,,PRD-08-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
772,,2,[기획] D05-상품관리,,,PRD-08-03,시즌 특가 등록,Z,,,,,PRD-08-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
773,,2,[기획] D05-상품관리,,,PRD-08-04,시즌 특가 수정,Z,,,,,PRD-08-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
774,,2,[기획] D05-상품관리,,,PRD-08-05,시즌 특가 삭제,Z,,,,,PRD-08-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
775,,2,[기획] D05-상품관리,,,PRD-08-06,자동 적용,Z,,,,,PRD-08-06,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
776,,2,[기획] D05-상품관리,,,PRD-08-07,중복 검증,Z,,,,,PRD-08-07,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
777,,2,[기획] D05-상품관리,,,PRD-08-08,카탈로그 / 키오스크 강조,Z,,,,,PRD-08-08,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
778,3,1,[기획] D06-시설관리,,,FAC-01,락커 관리 (구역 그리드 + 일괄 처리),"Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
779,,2,[기획] D06-시설관리,,,FAC-01-01,현황 요약 카드,Z,,,,,FAC-01-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
780,,2,[기획] D06-시설관리,,,FAC-01-02,구역 탭,Z,,,,,FAC-01-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
781,,2,[기획] D06-시설관리,,,FAC-01-03,그리드,Z,,,,,FAC-01-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
782,,2,[기획] D06-시설관리,,,FAC-01-04,검색,Z,,,,,FAC-01-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
783,,2,[기획] D06-시설관리,,,FAC-01-05,개별 배정,Z,,,,,FAC-01-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
784,,2,[기획] D06-시설관리,,,FAC-01-06,회수,Z,,,,,FAC-01-06,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
785,,2,[기획] D06-시설관리,,,FAC-01-07,이동,Z,,,,,FAC-01-07,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
786,,2,[기획] D06-시설관리,,,FAC-01-08,고장 처리,Z,,,,,FAC-01-08,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
787,,2,[기획] D06-시설관리,,,FAC-01-09,기록 조회,Z,,,,,FAC-01-09,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
788,,2,[기획] D06-시설관리,,,FAC-01-10,일괄 해제,Z,,,,,FAC-01-10,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
789,,2,[기획] D06-시설관리,,,FAC-01-11,일괄 배정,Z,,,,,FAC-01-11,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
790,,2,[기획] D06-시설관리,,,FAC-01-12,엑셀 다운로드,Z,,,,,FAC-01-12,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
791,,1,[기획] D06-시설관리,,,FAC-EXT-01,"옷 락커 / 고정 물품 락커 (분리 운영)
> 락커 관리 상세","Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-EXT-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
792,,2,[기획] D06-시설관리,,,FAC-EXT-01-01,"락커 유형 탭
(일일 락커 / 고정용 유료 락커 / 골프 락커 / 골프 고정용 유료 락커)",Z,,,,,FAC-EXT-01-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
793,,2,[기획] D06-시설관리,,,FAC-EXT-01-02,"락커 배정·회수 운영
(회원 배정, 회수, 만료, 일괄 해제 등 공통 운영)",Z,,,,,FAC-EXT-01-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
794,,2,[기획] D06-시설관리,,,FAC-EXT-01-03,"유료·계약 락커 운영
(상품 결제, 기간 연장, 만료 예정, 회수 대기)",Z,,,,,FAC-EXT-01-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
795,,2,[기획] D06-시설관리,,,FAC-EXT-01-04,"검색 / 필터
(락커 번호, 회원, 유형, 상태 필터)",Z,,,,,FAC-EXT-01-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
796,,2,[기획] D06-시설관리,,,FAC-EXT-01-05,"엑셀 다운로드
(유형별/필터별 현황 다운로드)",Z,,,,,FAC-EXT-01-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
797,,1,[기획] D11-통합운영,,,IoT-04,옷 락커 운영 관리,"Z: 관리 기능 개발
P: API 제공",,,,,IOT-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
798,,2,[기획] D11-통합운영,,,IoT-04-01,옷 락커 현황 카드,Z,,,,,IOT-04-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
799,,2,[기획] D11-통합운영,,,IoT-04-02,옷 락커 그리드,Z,,,,,IOT-04-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
800,,2,[기획] D11-통합운영,,,IoT-04-03,미배정 회원 패널,Z,,,,,IOT-04-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
801,,2,[기획] D11-통합운영,,,IoT-04-04,옷 락커 배정 (DLG-I002),Z,,,,,IOT-04-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
802,,2,[기획] D11-통합운영,,,IoT-04-05,옷 락커 회수·고장,Z,,,,,IOT-04-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
803,,2,[기획] D11-통합운영,,,IoT-04-06,고정 락커 현황 카드,Z,,,,,IOT-04-06,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
804,,2,[기획] D11-통합운영,,,IoT-04-07,고정 락커 유형 탭,Z,,,,,IOT-04-07,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
805,,2,[기획] D11-통합운영,,,IoT-04-08,고정 락커 배정,Z,,,,,IOT-04-08,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
806,,2,[기획] D11-통합운영,,,IoT-04-09,고정 락커 연장·회수,Z,,,,,IOT-04-09,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
807,,2,[기획] D11-통합운영,,,IoT-04-10,검색·필터·내보내기,Z,,,,,IOT-04-10,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
808,,1,[기획] D06-시설관리,,,FAC-02,사물함 배정 관리 (단기 보관용 빠른 배정),"Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
809,,2,[기획] D06-시설관리,,,FAC-02-01,현황 요약 카드,Z,,,,,FAC-02-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
810,,2,[기획] D06-시설관리,,,FAC-02-02,유형 탭,Z,,,,,FAC-02-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
811,,2,[기획] D06-시설관리,,,FAC-02-03,회원 배정 패널,Z,,,,,FAC-02-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
812,,2,[기획] D06-시설관리,,,FAC-02-04,사물함 그리드,Z,,,,,FAC-02-04,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
813,,2,[기획] D06-시설관리,,,FAC-02-05,배정 처리,Z,,,,,FAC-02-05,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
814,,2,[기획] D06-시설관리,,,FAC-02-06,일괄 해제,Z,,,,,FAC-02-06,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
815,,2,[기획] D06-시설관리,,,FAC-02-07,사물함 추가,Z,,,,,FAC-02-07,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
816,,2,[기획] D06-시설관리,,,FAC-02-08,엑셀 다운로드,Z,,,,,FAC-02-08,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
817,,1,[기획] D06-시설관리,,,FAC-03,밴드 / 카드 관리 (RFID 발급·매핑),"Z: 관리 기능 개발
P: API 제공",,,,,FAC-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
818,,2,[기획] D06-시설관리,,,FAC-03-01,현황 요약,Z,,,,,FAC-03-01,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
819,,2,[기획] D06-시설관리,,,FAC-03-02,검색 / 필터,Z,,,,,FAC-03-02,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
820,,2,[기획] D06-시설관리,,,FAC-03-03,카드 목록,Z,,,,,FAC-03-03,V1_PROMOTED,rows_753_880_promoted_to_docs4_v1
